    17.0000    1.039873E-02  1.329902E-02  9.020845E+01
    17.0500    4.799017E-03  1.023598E-02  9.061821E+01
    17.1000    3.805447E-04  7.113051E-03  9.105266E+01
    17.1500   -1.795417E-03  4.027085E-03  9.156829E+01
    17.2000   -1.406174E-03  1.406174E-03  9.267678E+01
    17.2500    1.091606E-03  2.588426E-03  9.468313E+01
    17.3000    4.630645E-03  5.278655E-03  9.531786E+01
    17.3500    7.858113E-03  7.865822E-03  9.577430E+01
    17.4000    9.523956E-03  1.021706E-02  9.618903E+01
    17.4500    8.825923E-03  1.227754E-02  9.658720E+01
    17.5000    5.620427E-03  1.401054E-02  9.697659E+01
    17.5500    4.480979E-04  1.539031E-02  9.736025E+01
    17.6000   -5.624996E-03  1.640071E-02  9.773945E+01
    17.6500   -1.129969E-02  1.703493E-02  9.811463E+01
    17.7000   -1.538491E-02  1.729542E-02  9.848570E+01
    17.7500   -1.709369E-02  1.719377E-02  9.885222E+01
    17.8000   -1.621684E-02  1.675065E-02  9.921330E+01
    17.8500   -1.313453E-02  1.599569E-02  9.956758E+01
    17.9000   -8.672494E-03  1.496760E-02  9.991295E+01
    17.9500   -3.852068E-03  1.371477E-02  1.002463E+02
    18.0000    3.901193E-04  1.229684E-02  1.005627E+02
    18.0500    3.474101E-03  1.082043E-02  1.008578E+02
    18.1000    5.169777E-03  9.336645E-03  1.011178E+02
    18.1500    5.698601E-03  7.974450E-03  1.013270E+02
    18.2000    5.578045E-03  6.910010E-03  1.014704E+02
    18.2500    5.411347E-03  6.345954E-03  1.015521E+02
    18.3000    5.667094E-03  6.402984E-03  1.016176E+02
    18.3500    6.516462E-03  7.002589E-03  1.017270E+02
    18.4000    7.776031E-03  7.929918E-03  1.019044E+02
    18.4500    8.970724E-03  8.977747E-03  1.021413E+02
    18.5000    9.494875E-03  1.000031E-02  1.024211E+02
    18.5500    8.820290E-03  1.090388E-02  1.027303E+02
    18.6000    6.686862E-03  1.162882E-02  1.030599E+02
    18.6500    3.217158E-03  1.213764E-02  1.034043E+02
    18.7000   -1.080662E-03  1.240824E-02  1.037598E+02
    18.7500   -5.424276E-03  1.243027E-02  1.041241E+02
    18.8000   -8.952431E-03  1.220296E-02  1.044962E+02
    18.8500   -1.094934E-02  1.173380E-02  1.048756E+02
    18.9000   -1.103555E-02  1.103764E-02  1.052628E+02
    18.9500   -9.272067E-03  1.013623E-02  1.056593E+02
    19.0000   -6.149274E-03  9.058249E-03  1.060679E+02
    19.0500   -2.474488E-03  7.871820E-03  1.064944E+02
    19.1000    8.837413E-04  6.587552E-03  1.069487E+02
    19.1500    3.141607E-03  5.273480E-03  1.074523E+02
    19.2000    3.824396E-03  4.050020E-03  1.080496E+02
    19.2500    2.878749E-03  3.165211E-03  1.088137E+02
    19.3000    6.765580E-04  3.016811E-03  1.097296E+02
    19.3500   -2.087491E-03  3.699066E-03  1.105554E+02
    19.4000   -4.575662E-03  4.838210E-03  1.111956E+02
    19.4500   -6.016893E-03  6.130550E-03  1.117194E+02
    19.5000   -5.893906E-03  7.433269E-03  1.121818E+02
    19.5500   -4.063516E-03  8.676872E-03  1.126100E+02
    19.6000   -7.848189E-04  9.822308E-03  1.130173E+02
    19.6500    3.346198E-03  1.084543E-02  1.134110E+02
    19.7000    7.534775E-03  1.173103E-02  1.137948E+02
    19.7500    1.096202E-02  1.247021E-02  1.141712E+02
    19.8000    1.295466E-02  1.305897E-02  1.145417E+02
    19.8500    1.311366E-02  1.349732E-02  1.149071E+02
    19.9000    1.137838E-02  1.378848E-02  1.152684E+02
    19.9500    8.019759E-03  1.393822E-02  1.156259E+02
    20.0000    3.571600E-03  1.395412E-02  1.159801E+02
