# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529626   2.529625
# angles: 60.000012  60.000004  60.000003
# sites: 1
# mp-30
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.435 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.342 Rnm= 1.379
# Gam_ch=1.729E+00 H-L exch
# Mu=-4.000E+00 kf=1.839E+00 Vint=-1.688E+01 Rs_int= 1.973
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.06      6.00     2   3.5774
#           3       0.00000     12.69     48.00     3   3.7944
#           4       0.00000      9.83     48.00     3   4.3183
#           5       0.00000     56.07     24.00     2   4.3814
#           6       0.00000     11.91     48.00     3   4.7203
#           7       0.00000     26.77     96.00     3   4.7203
#           8       0.00000     19.28     12.00     2   5.0593
#           9       0.00000      9.77     12.00     3   5.0592
#          10       0.00000     45.36     24.00     3   5.0592
#          11       0.00000      9.59     12.00     4   5.0593
#          12       0.00000      4.53     12.00     4   5.0592
#          14       0.00000     32.91     12.00     4   5.0593
#          16       0.00000      4.84     48.00     3   5.2442
#          17       0.00000     28.47     24.00     2   5.6564
#          18       0.00000      9.97     48.00     3   5.8817
#          19       0.00000      8.16     48.00     3   5.8817
#          20       0.00000      8.90     48.00     3   5.8817
#          21       0.00000      5.97     96.00     3   5.9852
#          22       0.00000      5.99     96.00     3   5.9852
#          23       0.00000      6.05     96.00     4   5.9852
#          24       0.00000      6.51     96.00     4   5.9852
#    22/  23 paths used
#  xsedge+50, used to normalize mu           2.4719E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9336.012    343.480   9.550  8.97391E-01  9.41631E-01 -4.69734E-02
    9339.660    347.128   9.600  8.95323E-01  9.40773E-01 -4.83047E-02
    9343.327    350.795   9.650  8.93171E-01  9.39915E-01 -4.97285E-02
    9347.013    354.481   9.700  8.89991E-01  9.39057E-01 -5.22500E-02
    9350.719    358.186   9.750  8.85762E-01  9.38198E-01 -5.58933E-02
    9354.443    361.910   9.800  8.81320E-01  9.37340E-01 -5.97720E-02
    9358.186    365.654   9.850  8.78056E-01  9.36482E-01 -6.24003E-02
    9361.949    369.416   9.900  8.77503E-01  9.35624E-01 -6.21357E-02
    9365.730    373.198   9.950  8.80918E-01  9.34766E-01 -5.76240E-02
    9369.530    376.998  10.000  8.88970E-01  9.33908E-01 -4.81363E-02
    9373.350    380.818  10.050  9.01136E-01  9.32840E-01 -3.39980E-02
    9377.188    384.656  10.100  9.17237E-01  9.31772E-01 -1.56041E-02
    9381.046    388.514  10.150  9.36042E-01  9.30705E-01  5.73552E-03
    9384.923    392.390  10.200  9.55831E-01  9.29637E-01  2.81816E-02
    9388.818    396.286  10.250  9.74598E-01  9.28569E-01  4.95765E-02
    9392.733    400.201  10.300  9.90279E-01  9.27502E-01  6.76913E-02
    9396.667    404.135  10.350  1.00100E+00  9.26434E-01  8.04890E-02
    9400.620    408.087  10.400  1.00531E+00  9.25367E-01  8.63897E-02
    9404.592    412.059  10.450  1.00242E+00  9.24299E-01  8.45143E-02
    9408.583    416.050  10.500  9.92366E-01  9.23231E-01  7.48786E-02
    9412.593    420.060  10.550  9.76112E-01  9.22164E-01  5.84951E-02
    9416.622    424.089  10.600  9.55496E-01  9.21096E-01  3.73412E-02
    9420.670    428.138  10.650  9.33059E-01  9.20028E-01  1.41607E-02
    9424.737    432.205  10.700  9.11695E-01  9.18961E-01 -7.90422E-03
    9428.823    436.291  10.750  8.94191E-01  9.17893E-01 -2.58144E-02
    9432.929    440.396  10.800  8.82717E-01  9.16825E-01 -3.71901E-02
    9437.053    444.520  10.850  8.78372E-01  9.15758E-01 -4.08097E-02
    9441.196    448.664  10.900  8.80896E-01  9.14690E-01 -3.69301E-02
    9445.359    452.826  10.950  8.88643E-01  9.13622E-01 -2.73278E-02
    9449.540    457.008  11.000  8.98847E-01  9.12555E-01 -1.50130E-02
    9453.741    461.208  11.050  9.08319E-01  9.11549E-01 -3.54201E-03
    9457.960    465.428  11.100  9.13701E-01  9.10544E-01  3.46507E-03
    9462.199    469.666  11.150  9.12591E-01  9.09539E-01  3.35309E-03
    9466.456    473.924  11.200  9.04113E-01  9.08533E-01 -4.86104E-03
    9470.733    478.201  11.250  8.89246E-01  9.07528E-01 -2.01245E-02
    9475.029    482.496  11.300  8.70734E-01  9.06523E-01 -3.94348E-02
    9479.344    486.811  11.350  8.52581E-01  9.05517E-01 -5.83875E-02
    9483.677    491.145  11.400  8.39223E-01  9.04512E-01 -7.20856E-02
