    17.1500    3.251119E-02  3.340817E-02  9.558633E+01
    17.2000    3.023947E-02  3.066785E-02  9.598591E+01
    17.2500    2.307736E-02  2.745466E-02  9.639105E+01
    17.3000    1.316235E-02  2.384816E-02  9.680470E+01
    17.3500    3.119117E-03  1.994392E-02  9.723233E+01
    17.4000   -4.622464E-03  1.586012E-02  9.768512E+01
    17.4500   -8.436441E-03  1.176202E-02  9.818924E+01
    17.5000   -7.878157E-03  7.960129E-03  9.881653E+01
    17.5500   -3.736328E-03  5.331175E-03  9.975438E+01
    17.6000    2.243938E-03  5.653102E-03  1.009391E+02
    17.6500    7.882030E-03  8.326200E-03  1.017737E+02
    17.7000    1.117811E-02  1.154797E-02  1.023555E+02
    17.7500    1.085520E-02  1.466692E-02  1.028393E+02
    17.8000    6.683704E-03  1.745893E-02  1.032797E+02
    17.8500   -4.902716E-04  1.981646E-02  1.036973E+02
    17.9000   -9.007639E-03  2.167766E-02  1.041011E+02
    17.9500   -1.686538E-02  2.300700E-02  1.044954E+02
    18.0000   -2.225491E-02  2.378883E-02  1.048823E+02
    18.0500   -2.407035E-02  2.407546E-02  1.052639E+02
    18.1000   -2.198689E-02  2.383145E-02  1.056394E+02
    18.1500   -1.665725E-02  2.308613E-02  1.060081E+02
    18.2000   -9.420653E-03  2.188317E-02  1.063691E+02
    18.2500   -1.901529E-03  2.028029E-02  1.067202E+02
    18.3000    4.434741E-03  1.834971E-02  1.070582E+02
    18.3500    8.642390E-03  1.618032E-02  1.073776E+02
    18.4000    1.047766E-02  1.388346E-02  1.076693E+02
    18.4500    1.036547E-02  1.160637E-02  1.079183E+02
    18.5000    9.177361E-03  9.558867E-03  1.081015E+02
    18.5500    7.900574E-03  8.045905E-03  1.081946E+02
    18.6000    7.304621E-03  7.418119E-03  1.082098E+02
    18.6500    7.705564E-03  7.798805E-03  1.082302E+02
    18.7000    8.892988E-03  8.905321E-03  1.083323E+02
    18.7500    1.023217E-02  1.032810E-02  1.085213E+02
    18.8000    1.090057E-02  1.177130E-02  1.087720E+02
    18.8500    1.017952E-02  1.306010E-02  1.090620E+02
    18.9000    7.708651E-03  1.409373E-02  1.093770E+02
    18.9500    3.626161E-03  1.481450E-02  1.097085E+02
    19.0000   -1.445012E-03  1.519197E-02  1.100510E+02
    19.0500   -6.574866E-03  1.524006E-02  1.104018E+02
    19.1000   -1.074290E-02  1.493767E-02  1.107584E+02
    19.1500   -1.312940E-02  1.429848E-02  1.111193E+02
    19.2000   -1.333415E-02  1.334622E-02  1.114840E+02
    19.2500   -1.147655E-02  1.211292E-02  1.118521E+02
    19.3000   -8.152318E-03  1.063731E-02  1.122241E+02
    19.3500   -4.264023E-03  8.963389E-03  1.126016E+02
    19.4000   -7.770273E-04  7.139357E-03  1.129883E+02
    19.4500    1.529549E-03  5.217921E-03  1.133948E+02
    19.5000    2.249662E-03  3.263576E-03  1.138579E+02
    19.5500    1.429075E-03  1.431969E-03  1.146045E+02
    19.6000   -4.775001E-04  1.224788E-03  1.166394E+02
    19.6500   -2.750618E-03  2.900710E-03  1.174866E+02
    19.7000   -4.606073E-03  4.655936E-03  1.179562E+02
    19.7500   -5.394441E-03  6.309959E-03  1.183551E+02
    19.8000   -4.749796E-03  7.821501E-03  1.187279E+02
    19.8500   -2.656067E-03  9.171066E-03  1.190867E+02
    19.9000    5.752633E-04  1.034975E-02  1.194361E+02
    19.9500    4.398774E-03  1.135665E-02  1.197783E+02
    20.0000    8.167103E-03  1.219758E-02  1.201141E+02
